"","genes","TS","SD"
"835","CHEK2",0.530896208157979,1.02449845998895
"836","RAMP3",0.530443714339534,1.09478086217835
"837","WNT6",0.527914742557924,1.71397337658231
"838","SOD2",0.52676435926791,1.35827744404141
"839","TRIM22",0.525630071903052,1.17011977482769
"840","PIM2",0.525260749470508,1.13786084239939
"841","GRIN2A",0.52488719102713,1.26925221384564
"842","MGST2",0.524056443027595,1.2417768420762
"843","CYP26A1",0.522934645767874,1.38742692970617
"844","TSC2",0.521559209434601,1.16188856671349
"845","SOX10",0.520037139137587,1.56897173665445
"846","CDH1",0.518766400472823,1.30458828805433
"847","RUNX2",0.51832411142828,1.17823649476948
"848","GPT",0.515829333942545,1.1770950051194
"849","CXCR4",0.512143688653706,1.47730227474678
"850","SLIT2",0.511934993367531,1.30747207950388
"851","RELB",0.511068348313416,1.40371446449593
"852","PRKCD",0.511029303998557,1.17621775461411
"853","RPS6KB1",0.510085607092866,0.841712219345173
"854","MAD1L1",0.508473573862888,1.11029723548303
"855","FGF23",0.508343051271469,1.37456164879394
"856","CHRNA7",0.506877794146189,1.1227433966587
"857","MCL1",0.50641845055877,1.46945521273901
"858","GLB1",0.500364976483204,1.4343677086356
"859","RNASEL",0.49862302018505,1.22571883919701
"860","CD55",0.497603612132886,0.978668937193123
"861","ST8SIA1",0.494408944254996,2.02152281446423
"862","EGFR",0.493442167686292,1.39803620968353
"863","PER1",0.492508054899273,1.31874994463633
"864","TNIP1",0.492409721206976,0.963969854802208
"865","STK11",0.490837025372343,1.12234952345196
"866","NFATC1",0.488860980189629,1.3284010248043
"867","ACADM",0.487322650017397,1.12609986959926
"868","SERP2",0.485559036393617,0.935857073990031
"869","FYN",0.484568500394541,1.15938591967121
"870","TH",0.483582450640458,1.16439120813033
"871","ADAMTS5",0.483421743474363,1.1718381956388
"872","FER",0.482831995415351,1.3045759733989
"873","NPR1",0.480706906066854,1.47897221167939
"874","SLC19A1",0.480268474586154,1.14441295314851
"875","LAMP2",0.477331570798386,1.19435639154707
"876","SOX9",0.475856659376748,1.68004473919521
"877","F3",0.471587469589484,1.18786259184061
"878","FLT4",0.469816562724081,1.40357745747793
"879","THY1",0.461650522246705,1.67713941218469
"880","ITGB3",0.46155954975991,1.32290060881603
"881","GAMT",0.461079084624867,1.2250322848728
"882","ATF3",0.460629465338878,1.39933294741905
"883","AXIN1",0.460339259664215,1.19980275400417
"884","TUBB2A",0.459943901069051,1.11281012320448
"885","ETV6",0.458341916837394,1.18183940395537
"886","ITGB1",0.456688224380271,0.902966786683409
"887","UBE2L6",0.456283576781264,1.30256262400876
"888","CD44",0.451467673260137,1.55969670382958
"889","GATA3",0.448992387816088,1.54775038571288
"890","TOP1",0.447132245000886,1.18369071475748
"891","DSP",0.446616051001472,1.36808475460644
"892","MAT2A",0.446554209960794,1.15917879976525
"893","TGFBI",0.446299396909974,1.2637171791412
"894","TNFRSF10B",0.442149373677274,1.27187620468487
"895","DAPK1",0.439584609317958,1.35985778078394
"896","ELF1",0.439566789146316,0.899930055139787
"897","CCNB1",0.436316327633775,1.6860815226746
"898","ITPK1",0.43450753987858,1.32962131398921
"899","XBP1",0.434374356150517,1.43520171478607
"900","NF2",0.430080912310153,1.14725327119359
"901","GALNT4",0.429869151761068,0.996210833946151
"902","GNMT",0.429365534495532,1.01797644583178
"903","NR3C2",0.429208489321041,1.11962723907758
"904","OPTN",0.426677559270572,1.18061926275507
"905","GRHL1",0.426247394316239,1.46892996492789
"906","MYOCD",0.418801498554475,1.3407910078384
"907","PGK1",0.418222383694609,1.06461020453221
"908","ACOX1",0.417156977786665,1.03127675426767
